"Z-Score","Cumulative Probability P(Z≤z)","Right Tail P(Z>z)","Percentile (%)","Two-Tail Confidence"
0,0.5,0.5000,50.00,-
0.01,0.504,0.4960,50.40,0.8%
0.02,0.508,0.4920,50.80,1.6%
0.03,0.512,0.4880,51.20,2.4%
0.04,0.516,0.4840,51.60,3.2%
0.05,0.5199,0.4801,51.99,4.0%
0.06,0.5239,0.4761,52.39,4.8%
0.07,0.5279,0.4721,52.79,5.6%
0.08,0.5319,0.4681,53.19,6.4%
0.09,0.5359,0.4641,53.59,7.2%
0.1,0.5398,0.4602,53.98,8.0%
0.11,0.5438,0.4562,54.38,8.8%
0.12,0.5478,0.4522,54.78,9.6%
0.13,0.5517,0.4483,55.17,10.3%
0.14,0.5557,0.4443,55.57,11.1%
0.15,0.5596,0.4404,55.96,11.9%
0.16,0.5636,0.4364,56.36,12.7%
0.17,0.5675,0.4325,56.75,13.5%
0.18,0.5714,0.4286,57.14,14.3%
0.19,0.5753,0.4247,57.53,15.1%
0.2,0.5793,0.4207,57.93,15.9%
0.21,0.5832,0.4168,58.32,16.6%
0.22,0.5871,0.4129,58.71,17.4%
0.23,0.591,0.4090,59.10,18.2%
0.24,0.5948,0.4052,59.48,19.0%
0.25,0.5987,0.4013,59.87,19.7%
0.26,0.6026,0.3974,60.26,20.5%
0.27,0.6064,0.3936,60.64,21.3%
0.28,0.6103,0.3897,61.03,22.1%
0.29,0.6141,0.3859,61.41,22.8%
0.3,0.6179,0.3821,61.79,23.6%
0.31,0.6217,0.3783,62.17,24.3%
0.32,0.6255,0.3745,62.55,25.1%
0.33,0.6293,0.3707,62.93,25.9%
0.34,0.6331,0.3669,63.31,26.6%
0.35,0.6368,0.3632,63.68,27.4%
0.36,0.6406,0.3594,64.06,28.1%
0.37,0.6443,0.3557,64.43,28.9%
0.38,0.648,0.3520,64.80,29.6%
0.39,0.6517,0.3483,65.17,30.3%
0.4,0.6554,0.3446,65.54,31.1%
0.41,0.6591,0.3409,65.91,31.8%
0.42,0.6628,0.3372,66.28,32.6%
0.43,0.6664,0.3336,66.64,33.3%
0.44,0.67,0.3300,67.00,34.0%
0.45,0.6736,0.3264,67.36,34.7%
0.46,0.6772,0.3228,67.72,35.4%
0.47,0.6808,0.3192,68.08,36.2%
0.48,0.6844,0.3156,68.44,36.9%
0.49,0.6879,0.3121,68.79,37.6%
0.5,0.6915,0.3085,69.15,38.3%
0.51,0.695,0.3050,69.50,39.0%
0.52,0.6985,0.3015,69.85,39.7%
0.53,0.7019,0.2981,70.19,40.4%
0.54,0.7054,0.2946,70.54,41.1%
0.55,0.7088,0.2912,70.88,41.8%
0.56,0.7123,0.2877,71.23,42.5%
0.57,0.7157,0.2843,71.57,43.1%
0.58,0.719,0.2810,71.90,43.8%
0.59,0.7224,0.2776,72.24,44.5%
0.6,0.7257,0.2743,72.57,45.1%
0.61,0.7291,0.2709,72.91,45.8%
0.62,0.7324,0.2676,73.24,46.5%
0.63,0.7357,0.2643,73.57,47.1%
0.64,0.7389,0.2611,73.89,47.8%
0.65,0.7422,0.2578,74.22,48.4%
0.66,0.7454,0.2546,74.54,49.1%
0.67,0.7486,0.2514,74.86,49.7%
0.68,0.7517,0.2483,75.17,50.3%
0.69,0.7549,0.2451,75.49,51.0%
0.7,0.758,0.2420,75.80,51.6%
0.71,0.7611,0.2389,76.11,52.2%
0.72,0.7642,0.2358,76.42,52.8%
0.73,0.7673,0.2327,76.73,53.5%
0.74,0.7704,0.2296,77.04,54.1%
0.75,0.7734,0.2266,77.34,54.7%
0.76,0.7764,0.2236,77.64,55.3%
0.77,0.7794,0.2206,77.94,55.9%
0.78,0.7823,0.2177,78.23,56.5%
0.79,0.7852,0.2148,78.52,57.0%
0.8,0.7881,0.2119,78.81,57.6%
0.81,0.791,0.2090,79.10,58.2%
0.82,0.7939,0.2061,79.39,58.8%
0.83,0.7967,0.2033,79.67,59.3%
0.84,0.7995,0.2005,79.95,59.9%
0.85,0.8023,0.1977,80.23,60.5%
0.86,0.8051,0.1949,80.51,61.0%
0.87,0.8078,0.1922,80.78,61.6%
0.88,0.8106,0.1894,81.06,62.1%
0.89,0.8133,0.1867,81.33,62.7%
0.9,0.8159,0.1841,81.59,63.2%
0.91,0.8186,0.1814,81.86,63.7%
0.92,0.8212,0.1788,82.12,64.2%
0.93,0.8238,0.1762,82.38,64.8%
0.94,0.8264,0.1736,82.64,65.3%
0.95,0.8289,0.1711,82.89,65.8%
0.96,0.8315,0.1685,83.15,66.3%
0.97,0.834,0.1660,83.40,66.8%
0.98,0.8365,0.1635,83.65,67.3%
0.99,0.8389,0.1611,83.89,67.8%
1,0.8413,0.1587,84.13,68.3%
1.01,0.8438,0.1562,84.38,68.8%
1.02,0.8461,0.1539,84.61,69.2%
1.03,0.8485,0.1515,84.85,69.7%
1.04,0.8508,0.1492,85.08,70.2%
1.05,0.8531,0.1469,85.31,70.6%
1.06,0.8554,0.1446,85.54,71.1%
1.07,0.8577,0.1423,85.77,71.5%
1.08,0.8599,0.1401,85.99,72.0%
1.09,0.8621,0.1379,86.21,72.4%
1.1,0.8643,0.1357,86.43,72.9%
1.11,0.8665,0.1335,86.65,73.3%
1.12,0.8686,0.1314,86.86,73.7%
1.13,0.8708,0.1292,87.08,74.2%
1.14,0.8729,0.1271,87.29,74.6%
1.15,0.8749,0.1251,87.49,75.0%
1.16,0.877,0.1230,87.70,75.4%
1.17,0.879,0.1210,87.90,75.8%
1.18,0.881,0.1190,88.10,76.2%
1.19,0.883,0.1170,88.30,76.6%
1.2,0.8849,0.1151,88.49,77.0%
1.21,0.8869,0.1131,88.69,77.4%
1.22,0.8888,0.1112,88.88,77.8%
1.23,0.8907,0.1093,89.07,78.1%
1.24,0.8925,0.1075,89.25,78.5%
1.25,0.8944,0.1056,89.44,78.9%
1.26,0.8962,0.1038,89.62,79.2%
1.27,0.898,0.1020,89.80,79.6%
1.28,0.8997,0.1003,89.97,79.9%
1.29,0.9015,0.0985,90.15,80.3%
1.3,0.9032,0.0968,90.32,80.6%
1.31,0.9049,0.0951,90.49,81.0%
1.32,0.9066,0.0934,90.66,81.3%
1.33,0.9082,0.0918,90.82,81.6%
1.34,0.9099,0.0901,90.99,82.0%
1.35,0.9115,0.0885,91.15,82.3%
1.36,0.9131,0.0869,91.31,82.6%
1.37,0.9147,0.0853,91.47,82.9%
1.38,0.9162,0.0838,91.62,83.2%
1.39,0.9177,0.0823,91.77,83.5%
1.4,0.9192,0.0808,91.92,83.8%
1.41,0.9207,0.0793,92.07,84.1%
1.42,0.9222,0.0778,92.22,84.4%
1.43,0.9236,0.0764,92.36,84.7%
1.44,0.9251,0.0749,92.51,85.0%
1.45,0.9265,0.0735,92.65,85.3%
1.46,0.9279,0.0721,92.79,85.6%
